PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
76,0,2,"Jones, Mr. Frank",male,,0,0,831699,17.4,,S
77,0,2,"Garcia, Mr. Edward",male,38.97,1,0,167144,20.66,,S
78,0,3,"Jackson, Mr. Henry",male,40.8,1,0,351635,8.93,,C
79,0,3,"Davis, Mr. William",male,22.75,0,2,748661,11.26,,S
80,0,3,"Johnson, Mrs. Helen",female,12.72,0,0,182351,10.67,,S
81,0,3,"Brown, Mr. Robert",male,24.8,0,2,889357,12.98,,S
82,0,2,"Johnson, Dr. Henry",male,34.18,0,0,714021,19.85,,C
83,0,3,"Jones, Mr. Henry",male,21.21,0,1,806603,18.23,,S
84,1,1,"Jones, Dr. James",male,31.23,0,1,374808,93.54,,Q
85,1,1,"Robinson, Miss. Elizabeth",female,44.76,0,0,646148,113.58,,C
86,1,1,"Harris, Mr. John",male,43.97,0,2,367943,83.59,E3,C
87,0,3,"Brown, Miss. Margaret",female,20.84,0,2,208887,14.5,,C
88,0,2,"Martin, Mr. James",male,10.15,0,0,212675,17.59,D97,S
89,0,1,"Jackson, Miss. Emma",female,,0,1,250885,126.13,C36,C
90,0,3,"Williams, Mr. Charles",male,15.79,1,0,956511,15.1,G11,S
91,0,1,"Martinez, Mr. George",male,40.57,1,0,183758,77.36,D59,S
92,1,3,"Martin, Miss. Emma",female,26.81,0,0,850752,11.78,,S
93,0,2,"Moore, Mr. Edward",male,7.33,1,0,575132,18.91,,C
94,0,2,"Martinez, Mr. William",male,30.97,1,0,757843,20.3,,S
95,1,2,"Smith, Miss. Emma",female,36.17,0,0,698737,19.44,,C
96,0,3,"Davis, Mr. Frank",male,,5,2,588983,9.37,,Q
97,1,2,"Brown, Miss. Elizabeth",female,31.41,0,0,929867,27.65,,S
98,0,1,"Martin, Mr. James",male,14.27,0,1,126336,118.78,,S
99,1,1,"Taylor, Miss. Emma",female,53.32,1,0,562504,158.92,,S
100,0,3,"Taylor, Mrs. Anna",female,29.93,0,0,973949,9.08,,S
101,0,3,"Jackson, Mr. John",male,10.56,0,1,646682,17.33,,S
102,0,3,"Thomas, Master. Charles",male,15.55,0,0,276523,0.59,,S
103,1,2,"Anderson, Mr. Thomas",male,,0,0,319491,28.29,,S
104,0,3,"Garcia, Mr. Edward",male,33.16,0,5,743699,3.53,,S
105,0,3,"Taylor, Miss. Emma",female,19.14,0,0,662844,6.6,F21,S
106,0,3,"Williams, Master. Robert",male,34.91,4,0,592303,15.16,,S
107,0,2,"Taylor, Mr. Henry",male,,0,0,136271,13.79,E53,S
108,0,2,"Wilson, Mr. Charles",male,17.49,1,0,353041,12.42,,C
109,0,1,"Robinson, Mr. Thomas",male,13.23,0,0,499303,63.64,,S
110,1,3,"Smith, Mrs. Florence",female,14.23,0,0,510882,17.74,,S
111,0,2,"White, Mr. Frank",male,,1,0,636037,10.67,,S
112,0,1,"Robinson, Mr. Thomas",male,,0,0,618824,81.73,,S
113,1,2,"Miller, Mrs. Ellen",female,,0,0,519792,16.21,,C
114,0,3,"Moore, Mrs. Mary",female,,1,0,731878,18.33,,S
115,0,1,"Wilson, Mr. Robert",male,,0,2,696641,119.61,,S
116,1,3,"Martinez, Miss. Helen",female,30.68,0,1,770601,1.07,F66,C
117,0,3,"Davis, Mr. James",male,,3,0,381296,19.79,,C
118,1,3,"Wilson, Miss. Margaret",female,18.13,0,2,131208,9.03,,S
119,0,2,"Moore, Mr. John",male,,0,1,998282,22.36,,S
120,0,3,"Anderson, Mr. George",male,12.45,0,0,883939,6.9,,S
121,0,3,"Harris, Mr. George",male,,0,0,326550,15.41,,S
122,0,3,"Harris, Mr. John",male,25.16,0,0,747817,29.58,,C
123,0,1,"Williams, Mr. George",male,41.4,0,0,386419,89.34,A8,S
124,0,2,"Robinson, Mr. William",male,22.5,0,0,804208,15.4,,S
125,0,1,"Harris, Master. Thomas",male,38.92,1,0,248682,74.25,B42,S
126,0,3,"Johnson, Mr. James",male,32.3,1,3,412483,3.45,,C
127,0,2,"White, Mr. Henry",male,53.54,0,0,590921,34.49,F135,S
128,1,1,"White, Mr. Thomas",male,36.49,0,0,724647,97.14,,C
129,1,1,"Smith, Miss. Florence",female,,0,3,359162,39.95,D109,S
130,1,3,"Harris, Miss. Helen",female,43.33,1,0,651042,6.39,,C
131,1,1,"Smith, Mr. John",male,31.41,0,0,469057,84.64,,C
132,1,3,"Robinson, Master. William",male,9.11,1,0,404386,19.06,,C
133,0,3,"Brown, Master. John",male,,0,0,845474,5.52,,Q
134,1,2,"Brown, Mr. George",male,42.91,2,0,251202,31.13,,Q
135,1,3,"Anderson, Mrs. Ellen",female,29.33,3,0,755886,12.4,,Q
136,0,1,"Taylor, Mr. James",male,36.84,0,1,624538,44.93,,S
137,0,3,"Anderson, Mr. Charles",male,,0,0,708189,9.96,,S
138,0,3,"Davis, Mr. Edward",male,24.3,0,1,792982,24.37,F117,S
139,0,3,"Martinez, Mr. Charles",male,39.8,0,0,826414,3.98,,S
140,1,1,"Harris, Mrs. Florence",female,23.19,1,0,410263,53.26,B91,S
141,1,3,"Harris, Mr. Charles",male,,0,0,465829,19.19,,S
142,0,3,"Miller, Mr. George",male,20.35,0,0,880966,14.41,,Q
143,0,3,"Wilson, Master. James",male,16.63,2,0,571392,7.86,G17,S
144,1,3,"Harris, Mrs. Florence",female,27.98,8,0,881759,19.27,F35,S
145,0,3,"Jackson, Mr. George",male,30.32,0,0,986369,19.58,,S
146,0,2,"Garcia, Miss. Anna",female,35.19,4,0,785873,23.31,,S
147,0,2,"Johnson, Dr. Florence",female,18.28,0,0,843945,13.88,,S
148,0,3,"Garcia, Mr. Charles",male,5.25,0,0,215143,10.02,,S
149,0,2,"Moore, Mrs. Florence",female,33.15,0,0,773782,22.85,,S
150,0,1,"Davis, Mr. George",male,31.93,0,2,561907,28.9,,C
151,1,3,"Robinson, Mrs. Alice",female,47.06,0,0,577386,21.63,,S
152,0,3,"Taylor, Mr. Edward",male,,0,0,984175,24.05,G67,S
153,1,1,"White, Master. William",male,,0,0,333305,74.09,,S
154,0,3,"Anderson, Mr. Charles",male,13.72,2,0,333646,15.31,,S
155,0,1,"Wilson, Mr. Charles",male,44.83,0,1,273432,133.8,,S
156,0,3,"Smith, Master. Charles",male,35.45,1,2,132446,25.71,,C
157,1,2,"Davis, Mr. Henry",male,39.1,0,1,250580,35.57,D144,S
158,0,3,"Jackson, Mr. Edward",male,20.75,0,2,566579,1.72,,S
159,0,3,"Miller, Mr. James",male,40.35,0,0,429583,10.95,,S
160,0,3,"Wilson, Mr. Charles",male,,0,2,339816,16.25,G23,S
161,1,1,"Moore, Miss. Anna",female,,0,1,996403,63.24,,S
162,1,3,"Jones, Miss. Emma",female,6.55,2,1,766297,24.59,,S
163,0,2,"Martinez, Mr. Thomas",male,37.74,0,1,271508,36.29,,C
164,1,1,"Anderson, Mr. Frank",male,34.88,1,0,947528,49.73,,S
165,0,3,"Jackson, Mr. William",male,30.58,1,0,674860,11.94,,S
166,1,2,"Davis, Miss. Mary",female,32.82,1,0,488054,12.5,,S
167,0,3,"Smith, Dr. William",male,27.17,0,0,429026,11.73,G123,S
168,1,3,"Wilson, Mrs. Florence",female,24.45,2,0,818544,11.53,G72,S
169,0,2,"Robinson, Mr. Henry",male,,0,0,488058,29.54,F87,S
170,0,3,"Brown, Mr. George",male,22.61,0,0,743891,7.22,,C
171,0,2,"Thomas, Mrs. Ellen",female,12.54,1,0,526820,0.0,,C
172,0,3,"Moore, Mr. William",male,31.83,0,0,703957,2.57,,S
173,1,2,"Martin, Mrs. Mary",female,20.29,1,0,780327,9.72,,S
174,0,3,"Johnson, Mr. Frank",male,9.11,0,0,129054,8.74,F126,S
175,0,1,"Davis, Mr. Robert",male,,1,0,211942,91.86,E17,C
176,0,1,"Thompson, Mr. Robert",male,41.4,1,0,752691,38.65,,S
177,0,2,"Smith, Mr. James",male,28.84,0,0,361363,7.89,F93,C
178,1,3,"Martinez, Master. George",male,0.42,0,0,799969,6.96,,S
179,0,3,"Smith, Mr. Robert",male,20.4,0,0,439334,5.75,F75,S
180,0,3,"Davis, Mr. Thomas",male,39.03,1,0,167460,9.4,F51,S
181,1,3,"Anderson, Mrs. Grace",female,19.58,0,0,493094,,,S
182,0,3,"Moore, Mr. Edward",male,23.01,1,0,917230,17.48,,S
183,1,3,"Smith, Mr. William",male,37.52,0,0,987467,,,S
184,0,2,"Taylor, Dr. Mary",female,39.55,0,2,516489,16.42,,S
185,0,3,"Miller, Mr. Frank",male,37.26,1,0,688592,9.46,,Q
186,1,3,"White, Miss. Mary",female,0.42,1,0,794328,18.26,G60,S
187,0,2,"Miller, Master. Charles",male,50.8,0,0,469483,18.46,F107,C
188,0,1,"Miller, Mr. James",male,45.64,0,0,728184,128.13,A65,Q
189,1,3,"Smith, Miss. Florence",female,54.54,1,0,886016,5.51,,S
190,0,2,"Wilson, Mr. George",male,,1,0,819482,19.51,,S
191,0,3,"Harris, Master. George",male,3.84,0,0,601369,9.26,,S
192,1,2,"Thomas, Mrs. Emma",female,30.09,0,0,120106,7.74,F129,C
193,0,1,"Brown, Mr. Robert",male,34.7,0,0,738167,81.16,,Q
194,1,3,"Harris, Mrs. Elizabeth",female,,0,0,678926,24.26,,Q
195,1,1,"Garcia, Miss. Alice",female,50.9,0,1,528130,48.18,,S
196,1,1,"Johnson, Mrs. Emma",female,36.95,0,0,386055,78.65,,Q
197,0,3,"Moore, Mr. John",male,22.11,1,0,519061,4.47,,S
198,0,3,"Jones, Mr. Henry",male,31.27,0,0,438026,3.52,,S
199,1,1,"Taylor, Mrs. Elizabeth",female,34.92,1,0,227867,50.94,,S
200,0,2,"Anderson, Mr. John",male,25.92,0,0,222018,15.5,,S
201,0,3,"Wilson, Mr. George",male,37.45,0,0,396685,10.36,,S
202,0,3,"Robinson, Master. Robert",male,40.12,0,0,614159,11.53,,S
203,0,3,"Thompson, Mr. Charles",male,38.01,0,0,117900,2.29,,Q
204,0,1,"Garcia, Mr. James",male,35.98,1,0,749648,57.71,,S
205,0,1,"Williams, Mr. Charles",male,12.32,2,1,124238,105.07,C10,C
206,0,2,"Martin, Mr. William",male,28.22,1,0,319293,6.42,,S
207,1,1,"Williams, Mr. John",male,28.9,1,0,923626,69.08,,S
208,0,3,"Miller, Miss. Margaret",female,23.44,1,3,240493,14.9,,S
209,0,1,"Thomas, Mr. Edward",male,29.95,1,0,317977,51.14,,C
210,0,3,"Williams, Mr. Edward",male,,0,0,956203,15.22,F137,C
211,0,3,"Robinson, Mr. William",male,12.53,1,0,163968,3.11,,S
212,0,3,"Jones, Mr. Thomas",male,9.63,0,2,317945,18.77,,S
213,0,1,"Martinez, Mrs. Anna",female,52.67,0,0,599772,99.36,,S
214,1,3,"Thompson, Miss. Grace",female,13.36,1,0,395585,13.36,,S
215,0,3,"Davis, Mr. Thomas",male,,1,3,629529,20.31,,S
216,0,3,"Brown, Mr. George",male,36.45,0,0,893299,10.86,,C
217,0,1,"Harris, Mr. James",male,48.97,3,0,511007,58.05,,S
218,0,1,"Martinez, Mr. Thomas",male,47.54,0,1,476637,141.65,,S
219,0,3,"Wilson, Mr. Charles",male,28.63,1,2,377203,24.96,,S
220,0,2,"Wilson, Mr. John",male,38.69,3,0,398065,13.07,D2,Q
221,0,2,"Garcia, Mr. Henry",male,46.48,0,0,619387,18.86,,S
222,0,3,"Thomas, Mr. Charles",male,30.1,2,0,162527,19.79,,S
223,0,3,"White, Mr. Charles",male,,1,2,230895,12.49,F24,C
224,0,3,"Martin, Mr. George",male,18.66,1,0,809399,16.86,,S
225,0,2,"Brown, Mr. Thomas",male,38.36,3,0,496640,27.8,,S
226,0,3,"Moore, Mr. George",male,17.47,0,0,762316,9.35,,S
227,1,1,"White, Mr. Henry",male,57.44,0,0,868312,101.61,C148,C
228,0,3,"Moore, Mr. John",male,,0,0,345385,12.96,F60,S
229,0,3,"Williams, Master. Frank",male,,0,0,439891,5.09,G128,S
230,0,1,"Moore, Rev. George",male,51.5,0,0,648371,42.43,,S
231,1,1,"Thompson, Mrs. Margaret",female,,0,0,725259,56.6,,S
232,1,2,"Jackson, Miss. Elizabeth",female,,0,0,151786,29.29,,S
233,0,3,"White, Mr. James",male,35.79,1,0,608661,19.25,,S
234,0,3,"Jones, Mr. Robert",male,7.33,2,0,308965,17.87,F50,S
235,1,3,"Brown, Miss. Helen",female,,4,0,508978,15.86,G54,S
236,0,3,"Wilson, Dr. Robert",male,34.95,0,0,829750,15.68,F147,Q
237,0,2,"Miller, Mr. Edward",male,30.79,0,0,240531,22.78,,S
238,0,3,"Anderson, Mr. Henry",male,42.61,0,0,952921,15.65,G9,S
239,1,1,"Anderson, Mr. Frank",male,19.09,0,0,406365,103.97,,S
240,1,1,"Martinez, Mr. Henry",male,17.72,0,0,794065,25.01,,S
241,0,3,"Martin, Mr. George",male,34.24,0,4,264111,7.86,,C
242,0,3,"Garcia, Master. Thomas",male,,2,0,748438,6.31,,Q
243,0,2,"Williams, Mr. Edward",male,27.68,0,0,856060,31.07,,S
244,0,3,"Smith, Mr. William",male,,1,0,700546,23.75,,S
245,0,3,"Thompson, Mr. Edward",male,33.94,1,0,938693,0.0,,S
246,1,3,"Jackson, Miss. Helen",female,15.23,1,3,166082,23.17,,C
247,0,3,"Brown, Mr. Edward",male,16.52,0,0,924778,13.56,,S
248,0,2,"Williams, Mr. William",male,32.28,0,1,599747,30.13,,S
249,0,2,"Johnson, Mr. George",male,40.85,4,4,324864,25.06,,S
250,0,2,"Garcia, Miss. Grace",female,16.01,0,1,706566,34.4,,S
251,0,3,"Smith, Mr. Thomas",male,22.62,0,0,538734,14.36,,S
252,0,3,"Jones, Mr. William",male,,4,1,786923,4.14,F70,S
253,0,2,"Miller, Mr. Charles",male,,1,0,757048,18.94,,S
254,1,2,"Smith, Miss. Margaret",female,29.9,1,0,740164,25.16,D107,S
255,0,2,"Davis, Mrs. Emma",female,23.45,0,0,857104,17.84,E70,S
256,0,3,"Garcia, Mrs. Mary",female,39.98,0,2,396480,17.28,F113,S
257,0,3,"Moore, Master. Thomas",male,,1,1,307030,12.57,F84,C
258,1,1,"Martinez, Mr. George",male,34.49,0,0,621978,58.99,E52,S
259,0,1,"Martin, Mr. Robert",male,18.9,0,1,309398,38.39,,S
260,0,3,"Thompson, Mr. James",male,16.44,0,0,826808,10.45,,S
261,0,1,"Anderson, Mrs. Florence",female,44.19,0,0,921253,92.59,,C
262,0,3,"Brown, Master. George",male,28.85,0,0,545903,0.26,F123,C
263,0,2,"Martinez, Mr. Frank",male,37.19,1,0,811165,12.2,E149,S
264,1,1,"Williams, Miss. Florence",female,,0,0,471066,0.14,,S
265,0,3,"Harris, Mr. George",male,50.05,0,1,890159,,F143,C
266,0,1,"Brown, Mr. William",male,29.03,3,4,181083,134.29,,C
267,0,2,"Taylor, Dr. John",male,10.57,3,0,986125,8.14,,S
268,1,1,"Moore, Mrs. Elizabeth",female,25.39,1,0,592530,113.53,E132,S
269,1,1,"Williams, Miss. Margaret",female,29.56,2,0,962276,203.65,,S
270,0,1,"Smith, Mr. Edward",male,26.31,0,0,737620,145.05,,C
271,1,1,"Smith, Miss. Anna",female,39.12,0,0,756256,,,S
272,1,1,"Davis, Miss. Helen",female,53.03,0,0,418605,120.05,,Q
273,1,1,"Moore, Miss. Mary",female,56.48,0,0,698824,26.47,,S
274,1,3,"Davis, Mrs. Mary",female,,1,0,777355,2.77,,S
275,0,3,"Moore, Mr. Robert",male,50.7,1,2,762274,13.19,,C
276,1,2,"Garcia, Miss. Margaret",female,25.72,0,0,994073,23.99,,C
277,1,2,"Thomas, Mr. John",male,10.41,0,0,150561,30.94,D87,C
278,1,3,"Taylor, Mrs. Grace",female,,8,0,286832,9.3,,S
279,0,3,"Smith, Master. William",male,,0,0,487175,14.26,,Q
280,0,3,"Wilson, Mrs. Alice",female,,0,0,659469,14.03,,Q
281,1,1,"Moore, Miss. Ellen",female,,0,0,630346,78.48,,Q
282,0,1,"Williams, Mr. Robert",male,,0,0,402189,80.96,D55,S
283,1,2,"Taylor, Miss. Helen",female,,0,0,221123,11.45,E76,C
284,1,2,"Johnson, Mr. Edward",male,15.83,0,0,318274,22.8,,S
285,0,3,"Anderson, Mr. Robert",male,24.87,0,0,801983,14.27,,S
286,0,2,"Wilson, Mr. James",male,42.04,0,0,602799,15.6,E45,S
287,0,1,"White, Mrs. Emma",female,,0,0,112363,111.96,E108,S
288,0,2,"Robinson, Mr. Robert",male,,0,1,445524,30.28,,Q
289,1,3,"Miller, Mr. William",male,10.03,0,0,457658,17.4,,S
290,0,1,"Williams, Mr. Charles",male,28.28,0,1,657947,40.22,,S
291,0,3,"Williams, Mr. James",male,,1,0,831376,13.65,F2,C
292,0,1,"Davis, Mr. Henry",male,42.12,1,0,696598,45.72,,S
293,1,3,"Robinson, Miss. Grace",female,,0,0,991999,13.63,F3,S
294,1,1,"Robinson, Miss. Grace",female,11.47,0,0,471187,45.88,A51,S
295,0,3,"White, Miss. Anna",female,30.04,0,0,838385,21.3,G111,S
296,0,3,"Thompson, Mr. Thomas",male,14.23,0,1,112236,18.09,,S
297,1,3,"Taylor, Miss. Helen",female,,1,0,375450,20.49,,C
298,0,3,"Wilson, Mr. George",male,15.93,8,0,921387,19.84,,S
299,0,3,"Smith, Mr. Edward",male,13.15,0,0,149651,11.24,,S
300,0,3,"Anderson, Mr. Edward",male,26.84,0,0,965717,10.23,,S
301,0,3,"Wilson, Master. Charles",male,53.29,0,0,563778,24.32,,C
302,0,1,"Williams, Mr. George",male,46.99,0,0,347455,77.06,,S
303,1,3,"Martinez, Mrs. Florence",female,,0,0,121547,4.2,,C
304,0,3,"Garcia, Mr. James",male,29.31,0,0,875050,19.55,,S
305,0,3,"Harris, Master. James",male,3.99,0,0,256217,13.93,,S
306,0,2,"Moore, Master. Charles",male,16.53,1,0,921269,35.06,,S
307,1,2,"Taylor, Mrs. Florence",female,0.42,0,0,992838,22.43,,S
308,0,3,"Martin, Master. Edward",male,45.76,0,0,298653,12.87,,S
309,0,2,"Johnson, Mr. Edward",male,48.33,5,0,729570,35.26,E71,S
310,1,1,"Wilson, Mr. George",male,,1,0,536103,,,S
311,0,3,"Martinez, Mr. Robert",male,26.62,0,0,616999,9.2,,S
312,1,2,"Jackson, Mr. Frank",male,,8,0,172211,11.13,,S
313,0,2,"Anderson, Mr. Robert",male,27.37,1,0,498426,0.0,,S
314,0,2,"Harris, Mr. Henry",male,,0,0,499523,28.73,E65,S
315,0,2,"Martinez, Mr. Charles",male,,0,0,601923,14.43,,C
316,0,2,"Williams, Mr. Henry",male,23.22,0,0,375996,,,Q
317,0,2,"Jackson, Mr. John",male,8.9,0,0,492352,23.89,,C
318,1,3,"Martin, Mrs. Emma",female,41.56,2,0,246877,16.95,,S
319,0,2,"Thompson, Mr. Charles",male,29.16,0,1,396862,15.45,,Q
320,0,3,"Taylor, Mr. John",male,3.92,0,0,600304,8.03,,C
321,0,3,"Moore, Master. George",male,13.91,0,0,659038,13.58,,S
322,0,3,"Garcia, Mr. Robert",male,9.67,1,1,215756,18.97,,S
323,0,2,"Smith, Mrs. Elizabeth",female,28.42,0,0,651504,19.5,,S
324,0,3,"Jones, Mr. Charles",male,27.49,0,0,417842,8.44,,C
325,0,3,"Harris, Mr. William",male,18.96,0,0,318871,5.21,,S
326,0,3,"Davis, Mr. William",male,,1,0,876944,14.33,G81,S
327,0,3,"Robinson, Mr. William",male,25.95,0,2,801112,9.4,,S
328,0,3,"Harris, Miss. Mary",female,37.75,0,1,711700,12.53,,S
329,0,3,"Williams, Mr. William",male,20.71,0,0,478488,11.45,,S
330,0,2,"Anderson, Master. William",male,66.54,0,0,825185,15.56,,S
331,1,3,"Miller, Miss. Florence",female,18.23,0,0,474423,14.91,G92,S
332,0,1,"Miller, Mrs. Alice",female,27.16,0,0,309996,107.29,E35,S
333,0,3,"Williams, Mr. John",male,,1,0,531097,25.77,,Q
334,0,3,"Martinez, Master. George",male,22.47,0,2,605835,17.93,,S
335,1,1,"Davis, Mr. James",male,17.37,0,0,659420,150.93,,S
336,1,3,"Martin, Mrs. Margaret",female,28.53,0,1,363791,7.68,,S
337,1,1,"Taylor, Mrs. Helen",female,15.14,0,0,594843,16.76,,S
338,1,3,"Johnson, Miss. Helen",female,26.94,0,0,507332,12.91,,C
339,1,1,"Robinson, Miss. Anna",female,21.78,0,1,315253,120.04,,Q
340,0,3,"Martinez, Mr. William",male,20.42,0,0,647974,17.56,F32,S
341,0,1,"Smith, Mr. Charles",male,45.25,0,0,376276,134.88,A111,S
342,0,3,"Jones, Mr. Charles",male,52.65,8,0,442644,0.0,,S
343,1,3,"Brown, Mrs. Helen",female,12.06,0,0,968197,21.14,,S
344,0,3,"Wilson, Mr. Edward",male,23.2,0,0,576253,,,S
345,0,3,"Jones, Mr. James",male,,2,0,593854,2.96,,S
346,0,3,"Davis, Master. Edward",male,14.56,0,1,629341,17.7,,S
347,0,3,"Robinson, Mrs. Grace",female,16.42,1,0,221562,14.1,G55,S
348,1,2,"Smith, Miss. Ellen",female,39.89,0,1,215810,23.81,,Q
349,0,3,"Wilson, Miss. Mary",female,19.14,0,1,485259,19.49,,S
350,0,1,"Jones, Mr. Henry",male,64.99,2,0,119472,102.07,,C
351,0,3,"Thomas, Miss. Anna",female,29.99,0,1,366229,3.43,,C
352,1,1,"Martin, Mrs. Margaret",female,25.88,1,1,180632,77.99,,S
353,1,3,"Williams, Miss. Margaret",female,20.6,0,0,667146,,,Q
354,1,3,"Martin, Miss. Elizabeth",female,15.38,0,0,894529,17.22,,S
355,1,2,"Brown, Miss. Elizabeth",female,39.6,0,0,128613,33.98,,S
356,1,3,"Martin, Miss. Anna",female,5.33,0,4,987355,,,S
357,0,3,"Taylor, Mr. Frank",male,8.91,0,4,533456,8.64,,S
